0.3074 	WARNING 	Movie2 stim could not be imported and won't be available
0.5653 	WARNING 	TextBox stim could not be imported and won't be available.
0.5653 	WARNING 	TextBox Font Manager Found No Fonts.
2.0098 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor instance at 0xf0ee9b8>, name='window1', pos=[0, 0], screen=0, size=array([1440,  900]), stereo=False, units=u'norm', useFBO=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
2.0098 	EXP 	window1: recordFrameIntervals = False
2.1759 	EXP 	window1: recordFrameIntervals = True
2.3594 	EXP 	window1: recordFrameIntervals = False
2.4307 	EXP 	Created trialInstrText = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='trialInstrText', opacity=1.0, ori=0, pos=array([ 0. ,  0.8]), rgb=array([ 0.,  0.,  0.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=20)
2.4379 	EXP 	Created restaurantText = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='blue', colorSpace='named', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='restaurantText', opacity=1.0, ori=0, pos=array([ 0.  ,  0.35]), rgb=array([   0.,    0.,  255.]), text=u'default text', units=u'norm', win=Window(...), wrapWidth=1)
2.4408 	EXP 	Created foodImg = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-3.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='foodImg', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 0.5,  0.5]), texRes=128, units=u'norm', win=Window(...))
2.4482 	EXP 	Created fixationJitterText = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=-4.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='fixationJitterText', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text=u'+', units=u'norm', win=Window(...), wrapWidth=1)
2.4543 	EXP 	Created sickImg = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-6.0, flipHoriz=False, flipVert=False, image='images/sick.png', interpolate=True, mask=None, maskParams=None, name='sickImg', opacity=1.0, ori=0.0, pos=array([-0.5, -0.6]), size=array([ 0.3 ,  0.45]), texRes=128, units=u'norm', win=Window(...))
2.4572 	EXP 	Created notsickImg = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-7.0, flipHoriz=False, flipVert=False, image='images/smiley.png', interpolate=True, mask=None, maskParams=None, name='notsickImg', opacity=1.0, ori=0.0, pos=array([ 0.5, -0.6]), size=array([ 0.3 ,  0.45]), texRes=128, units=u'norm', win=Window(...))
2.4597 	EXP 	Created fixationITIText = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=-8.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='fixationITIText', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text=u'+', units=u'norm', win=Window(...), wrapWidth=1)
2.4656 	EXP 	Created sickHighlight = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-10.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=1.0, italic=False, name='sickHighlight', opacity=1.0, ori=0, pos=array([-0.5 , -0.35]), rgb=array([ 255.,  255.,  255.]), text=u'_', units=u'norm', win=Window(...), wrapWidth=1)
2.4695 	EXP 	Created notsickHighlight = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-11.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=1, italic=False, name='notsickHighlight', opacity=1.0, ori=0, pos=array([ 0.5 , -0.35]), rgb=array([ 255.,  255.,  255.]), text=u'_', units=u'norm', win=Window(...), wrapWidth=1)
2.4800 	EXP 	Created correctText = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='green', colorSpace='named', contrast=1.0, depth=-13.0, flipHoriz=False, flipVert=False, font='Arial Bold', fontFiles=[], height=0.1, italic=False, name='correctText', opacity=1.0, ori=0, pos=array([ 0. , -0.3]), rgb=array([   0.,  128.,    0.]), text=u'CORRECT', units=u'norm', win=Window(...), wrapWidth=1)
2.4850 	EXP 	Created wrongText = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'red', colorSpace='named', contrast=1.0, depth=-14.0, flipHoriz=False, flipVert=False, font=u'Arial Bold', fontFiles=[], height=0.1, italic=False, name='wrongText', opacity=1.0, ori=0, pos=array([ 0. , -0.3]), rgb=array([ 255.,    0.,    0.]), text=u'WRONG', units=u'norm', win=Window(...), wrapWidth=1)
2.4905 	EXP 	Created timeoutText = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=-15.0, flipHoriz=False, flipVert=False, font=u'Arial Bold', fontFiles=[], height=0.1, italic=False, name='timeoutText', opacity=1.0, ori=0, pos=array([ 0. , -0.3]), rgb=array([ 255.,  255.,  255.]), text=u'TIMEOUT', units=u'norm', win=Window(...), wrapWidth=1)
2.4942 	EXP 	Created sickFeedback = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-16.0, flipHoriz=False, flipVert=False, image='images/sick.png', interpolate=True, mask=None, maskParams=None, name='sickFeedback', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 0.3 ,  0.45]), texRes=128, units=u'norm', win=Window(...))
2.4967 	EXP 	Created notsickFeedback = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-17.0, flipHoriz=False, flipVert=False, image='images/smiley.png', interpolate=True, mask=None, maskParams=None, name='notsickFeedback', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 0.3 ,  0.45]), texRes=128, units=u'norm', win=Window(...))
2.5079 	EXP 	Imported irrelevant.xlsx as conditions, 4 conditions, 4 params
2.5082 	EXP 	Created sequence: random, trialTypes=4, nReps=1, seed=None
2.5087 	EXP 	New trial (rep=0, index=0): {u'food': u'mexican_food2', u'corrAns': u'right', u'sick': u'No', u'restaurant': u'Restaurante Arroyo'}
2.5719 	EXP 	window1: recordFrameIntervals = False
2.5924 	EXP 	restaurantText: text = u'Restaurante Arroyo'
2.5924 	EXP 	foodImg: image = u'foods/mexican_food2.png'
2.5924 	EXP 	sickHighlight: opacity = 0.0
2.5924 	EXP 	notsickHighlight: opacity = 0.0
2.5924 	EXP 	sickHighlight: text = u'_'
2.5924 	EXP 	notsickHighlight: text = u'_'
2.5924 	EXP 	correctText: opacity = 0.0
2.5924 	EXP 	wrongText: opacity = 0.0
2.5924 	EXP 	timeoutText: opacity = 0.0
2.5924 	EXP 	sickFeedback: opacity = 0.0
2.5924 	EXP 	notsickFeedback: opacity = 0.0
2.5924 	EXP 	correctText: text = u'CORRECT'
2.5924 	EXP 	wrongText: text = u'WRONG'
2.5924 	EXP 	timeoutText: text = u'TIMEOUT'
2.5924 	EXP 	fixationITIText: autoDraw = True
2.5924 	EXP 	sickHighlight: text = u'_'
2.5924 	EXP 	notsickHighlight: text = u'_'
2.5992 	EXP 	window1: recordFrameIntervals = False
3.5929 	EXP 	sickHighlight: text = u'_'
3.5929 	EXP 	notsickHighlight: text = u'_'
3.6261 	EXP 	trialInstrText: autoDraw = True
3.6261 	EXP 	restaurantText: autoDraw = True
3.6261 	EXP 	foodImg: autoDraw = True
3.6261 	EXP 	sickImg: autoDraw = True
3.6261 	EXP 	notsickImg: autoDraw = True
3.6261 	EXP 	fixationITIText: autoDraw = False
3.6261 	EXP 	sickHighlight: autoDraw = True
3.6261 	EXP 	notsickHighlight: autoDraw = True
3.6261 	EXP 	sickHighlight: text = u'_'
3.6261 	EXP 	notsickHighlight: text = u'_'
3.6399 	EXP 	sickHighlight: text = u'_'
3.6399 	EXP 	notsickHighlight: text = u'_'
3.6585 	EXP 	sickHighlight: text = u'_'
3.6585 	EXP 	notsickHighlight: text = u'_'
3.6723 	EXP 	sickHighlight: text = u'_'
3.6723 	EXP 	notsickHighlight: text = u'_'
3.6920 	EXP 	sickHighlight: text = u'_'
3.6920 	EXP 	notsickHighlight: text = u'_'
3.7059 	EXP 	sickHighlight: text = u'_'
3.7059 	EXP 	notsickHighlight: text = u'_'
3.7252 	EXP 	sickHighlight: text = u'_'
3.7252 	EXP 	notsickHighlight: text = u'_'
3.7393 	EXP 	sickHighlight: text = u'_'
3.7393 	EXP 	notsickHighlight: text = u'_'
3.7584 	EXP 	sickHighlight: text = u'_'
3.7584 	EXP 	notsickHighlight: text = u'_'
3.7724 	EXP 	sickHighlight: text = u'_'
3.7724 	EXP 	notsickHighlight: text = u'_'
3.7918 	EXP 	sickHighlight: text = u'_'
3.7918 	EXP 	notsickHighlight: text = u'_'
3.8062 	EXP 	sickHighlight: text = u'_'
3.8062 	EXP 	notsickHighlight: text = u'_'
3.8251 	EXP 	sickHighlight: text = u'_'
3.8251 	EXP 	notsickHighlight: text = u'_'
3.8391 	EXP 	sickHighlight: text = u'_'
3.8391 	EXP 	notsickHighlight: text = u'_'
3.8586 	EXP 	sickHighlight: text = u'_'
3.8586 	EXP 	notsickHighlight: text = u'_'
3.8724 	EXP 	sickHighlight: text = u'_'
3.8724 	EXP 	notsickHighlight: text = u'_'
3.8919 	EXP 	sickHighlight: text = u'_'
3.8919 	EXP 	notsickHighlight: text = u'_'
3.9060 	EXP 	sickHighlight: text = u'_'
3.9060 	EXP 	notsickHighlight: text = u'_'
3.9250 	EXP 	sickHighlight: text = u'_'
3.9250 	EXP 	notsickHighlight: text = u'_'
3.9390 	EXP 	sickHighlight: text = u'_'
3.9390 	EXP 	notsickHighlight: text = u'_'
3.9583 	EXP 	sickHighlight: text = u'_'
3.9583 	EXP 	notsickHighlight: text = u'_'
3.9724 	EXP 	sickHighlight: text = u'_'
3.9724 	EXP 	notsickHighlight: text = u'_'
3.9920 	EXP 	sickHighlight: text = u'_'
3.9920 	EXP 	notsickHighlight: text = u'_'
4.0062 	EXP 	sickHighlight: text = u'_'
4.0062 	EXP 	notsickHighlight: text = u'_'
4.0251 	EXP 	sickHighlight: text = u'_'
4.0251 	EXP 	notsickHighlight: text = u'_'
4.0391 	EXP 	sickHighlight: text = u'_'
4.0391 	EXP 	notsickHighlight: text = u'_'
4.0587 	EXP 	sickHighlight: text = u'_'
4.0587 	EXP 	notsickHighlight: text = u'_'
4.0727 	EXP 	sickHighlight: text = u'_'
4.0727 	EXP 	notsickHighlight: text = u'_'
4.0917 	EXP 	sickHighlight: text = u'_'
4.0917 	EXP 	notsickHighlight: text = u'_'
4.1087 	EXP 	sickHighlight: text = u'_'
4.1087 	EXP 	notsickHighlight: text = u'_'
4.1228 	EXP 	sickHighlight: text = u'_'
4.1228 	EXP 	notsickHighlight: text = u'_'
4.1420 	EXP 	sickHighlight: text = u'_'
4.1420 	EXP 	notsickHighlight: text = u'_'
4.1565 	EXP 	sickHighlight: text = u'_'
4.1565 	EXP 	notsickHighlight: text = u'_'
4.1752 	EXP 	sickHighlight: text = u'_'
4.1752 	EXP 	notsickHighlight: text = u'_'
4.1892 	EXP 	sickHighlight: text = u'_'
4.1892 	EXP 	notsickHighlight: text = u'_'
4.2086 	EXP 	sickHighlight: text = u'_'
4.2086 	EXP 	notsickHighlight: text = u'_'
4.2232 	EXP 	sickHighlight: text = u'_'
4.2232 	EXP 	notsickHighlight: text = u'_'
4.2421 	EXP 	sickHighlight: text = u'_'
4.2421 	EXP 	notsickHighlight: text = u'_'
4.2562 	EXP 	sickHighlight: text = u'_'
4.2562 	EXP 	notsickHighlight: text = u'_'
4.2751 	EXP 	sickHighlight: text = u'_'
4.2751 	EXP 	notsickHighlight: text = u'_'
4.3087 	EXP 	sickHighlight: text = u'_'
4.3087 	EXP 	notsickHighlight: text = u'_'
4.3222 	EXP 	sickHighlight: text = u'_'
4.3222 	EXP 	notsickHighlight: text = u'_'
4.3417 	EXP 	sickHighlight: text = u'_'
4.3417 	EXP 	notsickHighlight: text = u'_'
4.3559 	EXP 	sickHighlight: text = u'_'
4.3559 	EXP 	notsickHighlight: text = u'_'
4.3844 	EXP 	sickHighlight: text = u'_'
4.3844 	EXP 	notsickHighlight: text = u'_'
4.4087 	EXP 	sickHighlight: text = u'_'
4.4087 	EXP 	notsickHighlight: text = u'_'
4.4226 	EXP 	sickHighlight: text = u'_'
4.4226 	EXP 	notsickHighlight: text = u'_'
4.4418 	EXP 	sickHighlight: text = u'_'
4.4418 	EXP 	notsickHighlight: text = u'_'
4.4585 	EXP 	sickHighlight: text = u'_'
4.4585 	EXP 	notsickHighlight: text = u'_'
4.4753 	EXP 	sickHighlight: text = u'_'
4.4753 	EXP 	notsickHighlight: text = u'_'
4.4918 	EXP 	sickHighlight: text = u'_'
4.4918 	EXP 	notsickHighlight: text = u'_'
4.5059 	EXP 	sickHighlight: text = u'_'
4.5059 	EXP 	notsickHighlight: text = u'_'
4.5253 	EXP 	sickHighlight: text = u'_'
4.5253 	EXP 	notsickHighlight: text = u'_'
4.5393 	EXP 	sickHighlight: text = u'_'
4.5393 	EXP 	notsickHighlight: text = u'_'
4.5584 	EXP 	sickHighlight: text = u'_'
4.5584 	EXP 	notsickHighlight: text = u'_'
4.5725 	EXP 	sickHighlight: text = u'_'
4.5725 	EXP 	notsickHighlight: text = u'_'
4.5919 	EXP 	sickHighlight: text = u'_'
4.5919 	EXP 	notsickHighlight: text = u'_'
4.6084 	EXP 	sickHighlight: text = u'_'
4.6084 	EXP 	notsickHighlight: text = u'_'
4.6230 	EXP 	sickHighlight: text = u'_'
4.6230 	EXP 	notsickHighlight: text = u'_'
4.6420 	EXP 	sickHighlight: text = u'_'
4.6420 	EXP 	notsickHighlight: text = u'_'
4.6558 	EXP 	sickHighlight: text = u'_'
4.6558 	EXP 	notsickHighlight: text = u'_'
4.6753 	EXP 	sickHighlight: text = u'_'
4.6753 	EXP 	notsickHighlight: text = u'_'
4.6896 	EXP 	sickHighlight: text = u'_'
4.6896 	EXP 	notsickHighlight: text = u'_'
4.7085 	EXP 	sickHighlight: text = u'_'
4.7085 	EXP 	notsickHighlight: text = u'_'
4.7227 	EXP 	sickHighlight: text = u'_'
4.7227 	EXP 	notsickHighlight: text = u'_'
4.7419 	EXP 	sickHighlight: text = u'_'
4.7419 	EXP 	notsickHighlight: text = u'_'
4.7584 	EXP 	sickHighlight: text = u'_'
4.7584 	EXP 	notsickHighlight: text = u'_'
4.7755 	EXP 	sickHighlight: text = u'_'
4.7755 	EXP 	notsickHighlight: text = u'_'
4.7918 	EXP 	sickHighlight: text = u'_'
4.7918 	EXP 	notsickHighlight: text = u'_'
4.8088 	EXP 	sickHighlight: text = u'_'
4.8088 	EXP 	notsickHighlight: text = u'_'
4.8252 	EXP 	sickHighlight: text = u'_'
4.8252 	EXP 	notsickHighlight: text = u'_'
4.8419 	EXP 	sickHighlight: text = u'_'
4.8419 	EXP 	notsickHighlight: text = u'_'
4.8562 	EXP 	sickHighlight: text = u'_'
4.8562 	EXP 	notsickHighlight: text = u'_'
4.8755 	EXP 	sickHighlight: text = u'_'
4.8755 	EXP 	notsickHighlight: text = u'_'
4.8894 	EXP 	sickHighlight: text = u'_'
4.8894 	EXP 	notsickHighlight: text = u'_'
4.9085 	EXP 	sickHighlight: text = u'_'
4.9085 	EXP 	notsickHighlight: text = u'_'
4.9227 	EXP 	sickHighlight: text = u'_'
4.9227 	EXP 	notsickHighlight: text = u'_'
4.9419 	EXP 	sickHighlight: text = u'_'
4.9419 	EXP 	notsickHighlight: text = u'_'
4.9586 	EXP 	sickHighlight: text = u'_'
4.9586 	EXP 	notsickHighlight: text = u'_'
4.9726 	EXP 	sickHighlight: text = u'_'
4.9726 	EXP 	notsickHighlight: text = u'_'
4.9920 	EXP 	sickHighlight: text = u'_'
4.9920 	EXP 	notsickHighlight: text = u'_'
5.0059 	EXP 	sickHighlight: text = u'_'
5.0059 	EXP 	notsickHighlight: text = u'_'
5.0255 	EXP 	sickHighlight: text = u'_'
5.0255 	EXP 	notsickHighlight: text = u'_'
5.0398 	EXP 	sickHighlight: text = u'_'
5.0398 	EXP 	notsickHighlight: text = u'_'
5.0587 	EXP 	sickHighlight: text = u'_'
5.0587 	EXP 	notsickHighlight: text = u'_'
5.0727 	EXP 	sickHighlight: text = u'_'
5.0727 	EXP 	notsickHighlight: text = u'_'
5.0923 	EXP 	sickHighlight: text = u'_'
5.0923 	EXP 	notsickHighlight: text = u'_'
5.1063 	EXP 	sickHighlight: text = u'_'
5.1063 	EXP 	notsickHighlight: text = u'_'
5.1256 	EXP 	sickHighlight: text = u'_'
5.1256 	EXP 	notsickHighlight: text = u'_'
5.1590 	EXP 	sickHighlight: text = u'_'
5.1590 	EXP 	notsickHighlight: text = u'_'
5.1731 	EXP 	sickHighlight: text = u'_'
5.1731 	EXP 	notsickHighlight: text = u'_'
