0.3124 	WARNING 	Movie2 stim could not be imported and won't be available
0.5667 	WARNING 	TextBox stim could not be imported and won't be available.
0.5667 	WARNING 	TextBox Font Manager Found No Fonts.
2.3665 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor instance at 0xeecd9b8>, name='window1', pos=[0, 0], screen=0, size=array([1440,  900]), stereo=False, units=u'norm', useFBO=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
2.3665 	EXP 	window1: recordFrameIntervals = False
2.5316 	EXP 	window1: recordFrameIntervals = True
2.7151 	EXP 	window1: recordFrameIntervals = False
2.7805 	EXP 	Created trialInstrText = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='trialInstrText', opacity=1.0, ori=0, pos=array([ 0. ,  0.8]), rgb=array([ 0.,  0.,  0.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=20)
2.7870 	EXP 	Created restaurantText = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='blue', colorSpace='named', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='restaurantText', opacity=1.0, ori=0, pos=array([ 0.  ,  0.35]), rgb=array([   0.,    0.,  255.]), text=u'default text', units=u'norm', win=Window(...), wrapWidth=1)
2.7897 	EXP 	Created foodImg = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-3.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='foodImg', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 0.5,  0.5]), texRes=128, units=u'norm', win=Window(...))
2.7951 	EXP 	Created fixationJitterText = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=-4.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='fixationJitterText', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text=u'+', units=u'norm', win=Window(...), wrapWidth=1)
2.7997 	EXP 	Created sickImg = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-6.0, flipHoriz=False, flipVert=False, image='images/sick.png', interpolate=True, mask=None, maskParams=None, name='sickImg', opacity=1.0, ori=0.0, pos=array([-0.5, -0.6]), size=array([ 0.3 ,  0.45]), texRes=128, units=u'norm', win=Window(...))
2.8022 	EXP 	Created notsickImg = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-7.0, flipHoriz=False, flipVert=False, image='images/smiley.png', interpolate=True, mask=None, maskParams=None, name='notsickImg', opacity=1.0, ori=0.0, pos=array([ 0.5, -0.6]), size=array([ 0.3 ,  0.45]), texRes=128, units=u'norm', win=Window(...))
2.8046 	EXP 	Created fixationITIText = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=-8.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='fixationITIText', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text=u'+', units=u'norm', win=Window(...), wrapWidth=1)
2.8090 	EXP 	Created sickHighlight = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-10.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=1.0, italic=False, name='sickHighlight', opacity=1.0, ori=0, pos=array([-0.5 , -0.35]), rgb=array([ 255.,  255.,  255.]), text=u'_', units=u'norm', win=Window(...), wrapWidth=1)
2.8114 	EXP 	Created notsickHighlight = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-11.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=1, italic=False, name='notsickHighlight', opacity=1.0, ori=0, pos=array([ 0.5 , -0.35]), rgb=array([ 255.,  255.,  255.]), text=u'_', units=u'norm', win=Window(...), wrapWidth=1)
2.8201 	EXP 	Created correctText = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='green', colorSpace='named', contrast=1.0, depth=-13.0, flipHoriz=False, flipVert=False, font='Arial Bold', fontFiles=[], height=0.1, italic=False, name='correctText', opacity=1.0, ori=0, pos=array([ 0. , -0.3]), rgb=array([   0.,  128.,    0.]), text=u'CORRECT', units=u'norm', win=Window(...), wrapWidth=1)
2.8251 	EXP 	Created wrongText = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='red', colorSpace='named', contrast=1.0, depth=-14.0, flipHoriz=False, flipVert=False, font='Arial Bold', fontFiles=[], height=0.1, italic=False, name='wrongText', opacity=1.0, ori=0, pos=array([ 0. , -0.3]), rgb=array([ 255.,    0.,    0.]), text=u'WRONG', units=u'norm', win=Window(...), wrapWidth=1)
2.8282 	EXP 	Created sickFeedback = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-15.0, flipHoriz=False, flipVert=False, image='images/sick.png', interpolate=True, mask=None, maskParams=None, name='sickFeedback', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 0.3 ,  0.45]), texRes=128, units=u'norm', win=Window(...))
2.8307 	EXP 	Created notsickFeedback = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-16.0, flipHoriz=False, flipVert=False, image='images/smiley.png', interpolate=True, mask=None, maskParams=None, name='notsickFeedback', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 0.3 ,  0.45]), texRes=128, units=u'norm', win=Window(...))
2.8424 	EXP 	Imported irrelevant.xlsx as conditions, 4 conditions, 4 params
2.8427 	EXP 	Created sequence: random, trialTypes=4, nReps=1, seed=None
2.8438 	EXP 	New trial (rep=0, index=0): {u'food': u'mexican_food1', u'corrAns': u'left', u'sick': u'Yes', u'restaurant': u'Restaurante Arroyo'}
2.9030 	EXP 	window1: recordFrameIntervals = False
2.9145 	EXP 	restaurantText: text = u'Restaurante Arroyo'
2.9145 	EXP 	foodImg: image = u'foods/mexican_food1.png'
2.9145 	EXP 	sickHighlight: opacity = 0.0
2.9145 	EXP 	notsickHighlight: opacity = 0.0
2.9145 	EXP 	sickHighlight: text = u'_'
2.9145 	EXP 	notsickHighlight: text = u'_'
2.9145 	EXP 	correctText: opacity = 0.0
2.9145 	EXP 	wrongText: opacity = 0.0
2.9145 	EXP 	sickFeedback: opacity = 0.0
2.9145 	EXP 	notsickFeedback: opacity = 0.0
2.9145 	EXP 	correctText: text = u'CORRECT'
2.9145 	EXP 	wrongText: text = u'WRONG'
2.9145 	EXP 	fixationITIText: autoDraw = True
2.9145 	EXP 	sickHighlight: text = u'_'
2.9145 	EXP 	notsickHighlight: text = u'_'
2.9199 	EXP 	window1: recordFrameIntervals = False
3.9316 	EXP 	sickHighlight: text = u'_'
3.9316 	EXP 	notsickHighlight: text = u'_'
3.9649 	EXP 	trialInstrText: autoDraw = True
3.9649 	EXP 	restaurantText: autoDraw = True
3.9649 	EXP 	foodImg: autoDraw = True
3.9649 	EXP 	sickImg: autoDraw = True
3.9649 	EXP 	notsickImg: autoDraw = True
3.9649 	EXP 	fixationITIText: autoDraw = False
3.9649 	EXP 	sickHighlight: autoDraw = True
3.9649 	EXP 	notsickHighlight: autoDraw = True
3.9649 	EXP 	sickHighlight: text = u'_'
3.9649 	EXP 	notsickHighlight: text = u'_'
3.9971 	EXP 	sickHighlight: text = u'_'
3.9971 	EXP 	notsickHighlight: text = u'_'
4.0114 	EXP 	sickHighlight: text = u'_'
4.0114 	EXP 	notsickHighlight: text = u'_'
4.0309 	EXP 	sickHighlight: text = u'_'
4.0309 	EXP 	notsickHighlight: text = u'_'
4.0449 	EXP 	sickHighlight: text = u'_'
4.0449 	EXP 	notsickHighlight: text = u'_'
4.0641 	EXP 	sickHighlight: text = u'_'
4.0641 	EXP 	notsickHighlight: text = u'_'
4.0779 	EXP 	sickHighlight: text = u'_'
4.0779 	EXP 	notsickHighlight: text = u'_'
4.0977 	EXP 	sickHighlight: text = u'_'
4.0977 	EXP 	notsickHighlight: text = u'_'
4.1115 	EXP 	sickHighlight: text = u'_'
4.1115 	EXP 	notsickHighlight: text = u'_'
4.1308 	EXP 	sickHighlight: text = u'_'
4.1308 	EXP 	notsickHighlight: text = u'_'
4.1452 	EXP 	sickHighlight: text = u'_'
4.1452 	EXP 	notsickHighlight: text = u'_'
4.1640 	EXP 	sickHighlight: text = u'_'
4.1640 	EXP 	notsickHighlight: text = u'_'
4.1782 	EXP 	sickHighlight: text = u'_'
4.1782 	EXP 	notsickHighlight: text = u'_'
4.1975 	EXP 	sickHighlight: text = u'_'
4.1975 	EXP 	notsickHighlight: text = u'_'
4.2122 	EXP 	sickHighlight: text = u'_'
4.2122 	EXP 	notsickHighlight: text = u'_'
4.2308 	EXP 	sickHighlight: text = u'_'
4.2308 	EXP 	notsickHighlight: text = u'_'
4.2455 	EXP 	sickHighlight: text = u'_'
4.2455 	EXP 	notsickHighlight: text = u'_'
4.2639 	EXP 	sickHighlight: text = u'_'
4.2639 	EXP 	notsickHighlight: text = u'_'
4.2810 	EXP 	sickHighlight: text = u'_'
4.2810 	EXP 	notsickHighlight: text = u'_'
4.2950 	EXP 	sickHighlight: text = u'_'
4.2950 	EXP 	notsickHighlight: text = u'_'
4.3142 	EXP 	sickHighlight: text = u'_'
4.3142 	EXP 	notsickHighlight: text = u'_'
4.3284 	EXP 	sickHighlight: text = u'_'
4.3284 	EXP 	notsickHighlight: text = u'_'
4.3475 	EXP 	sickHighlight: text = u'_'
4.3475 	EXP 	notsickHighlight: text = u'_'
4.3624 	EXP 	sickHighlight: text = u'_'
4.3624 	EXP 	notsickHighlight: text = u'_'
4.3809 	EXP 	sickHighlight: text = u'_'
4.3809 	EXP 	notsickHighlight: text = u'_'
4.3952 	EXP 	sickHighlight: text = u'_'
4.3952 	EXP 	notsickHighlight: text = u'_'
4.4140 	EXP 	sickHighlight: text = u'_'
