0.3101 	WARNING 	Movie2 stim could not be imported and won't be available
0.5494 	WARNING 	TextBox stim could not be imported and won't be available.
0.5494 	WARNING 	TextBox Font Manager Found No Fonts.
2.5774 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor instance at 0xf1d3670>, name='window1', pos=[0, 0], screen=0, size=array([1440,  900]), stereo=False, units=u'norm', useFBO=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
2.5775 	EXP 	window1: recordFrameIntervals = False
2.7435 	EXP 	window1: recordFrameIntervals = True
2.9272 	EXP 	window1: recordFrameIntervals = False
2.9959 	EXP 	Created trialInstrText = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='trialInstrText', opacity=1.0, ori=0, pos=array([ 0. ,  0.8]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
3.0024 	EXP 	Created restaurantText = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='restaurantText', opacity=1.0, ori=0, pos=array([ 0. ,  0.5]), rgb=array([ 255.,  255.,  255.]), text=u'default text', units=u'norm', win=Window(...), wrapWidth=1)
3.0052 	EXP 	Created foodImg = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-3.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='foodImg', opacity=1.0, ori=0.0, pos=array([ 0.,  1.]), size=array([ 0.5,  0.5]), texRes=128, units=u'norm', win=Window(...))
3.0113 	EXP 	Imported irrelevant.xlsx as conditions, 4 conditions, 4 params
3.0116 	EXP 	Created sequence: random, trialTypes=4, nReps=1, seed=None
3.0120 	EXP 	New trial (rep=0, index=0): {u'food': u'mexican_food2', u'corrAns': u'right', u'sick': u'No', u'restaurant': u'Restaurante Arroyo'}
3.0311 	EXP 	window1: recordFrameIntervals = False
3.0436 	EXP 	restaurantText: text = u'Restaurante Arroyo'
3.0436 	EXP 	foodImg: image = u'foods/mexican_food2.png'
3.0437 	EXP 	window1: recordFrameIntervals = False
3.5443 	EXP 	trialInstrText: autoDraw = True
3.5443 	EXP 	restaurantText: autoDraw = True
3.5443 	EXP 	foodImg: autoDraw = True
5.7608 	DATA 	Keypress: escape
