food,corrAns,sick,restaurant,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,date,frameRate,expName,session,participant,
mexican_food1,left,Yes,Molina's Cantina,0,0,0,0,2016_Sep_15_1155,59.9440619806,context,001,1,
mexican_food2,right,No,Restaurante Arroyo,0,1,1,3,2016_Sep_15_1155,59.9440619806,context,001,1,
