food,corrAns,sick,restaurant,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,responseKey.keys,responseKey.corr,date,frameRate,expName,session,participant,
mexican_food2,right,No,Molina's Cantina,0,0,0,1,None,0,2016_Sep_15_1329,59.9086152743,context,001,,
mexican_food1,left,Yes,Molina's Cantina,0,1,1,0,None,0,2016_Sep_15_1329,59.9086152743,context,001,,
