0.3136 	WARNING 	Movie2 stim could not be imported and won't be available
0.5629 	WARNING 	TextBox stim could not be imported and won't be available.
0.5629 	WARNING 	TextBox Font Manager Found No Fonts.
2.5081 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor instance at 0xe79a6c0>, name='window1', pos=[0, 0], screen=0, size=array([1440,  900]), stereo=False, units=u'norm', useFBO=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
2.5081 	EXP 	window1: recordFrameIntervals = False
2.6734 	EXP 	window1: recordFrameIntervals = True
2.8569 	EXP 	window1: recordFrameIntervals = False
2.9505 	EXP 	Created trialInstrText = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'black', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font=u'Ariel', fontFiles=[], height=0.1, italic=False, name='trialInstrText', opacity=1.0, ori=0, pos=array([ 0. ,  0.8]), rgb=array([ 0.,  0.,  0.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
2.9575 	EXP 	Created restaurantText = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'blue', colorSpace='named', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, font=u'Ariel', fontFiles=[], height=0.1, italic=False, name='restaurantText', opacity=1.0, ori=0, pos=array([ 0. ,  0.5]), rgb=array([   0.,    0.,  255.]), text=u'default text', units=u'norm', win=Window(...), wrapWidth=1)
2.9604 	EXP 	Created foodImg = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-3.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='foodImg', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 0.5,  0.5]), texRes=128, units=u'norm', win=Window(...))
2.9668 	EXP 	Created fixationtext = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'black', colorSpace='named', contrast=1.0, depth=-4.0, flipHoriz=False, flipVert=False, font=u'Ariel', fontFiles=[], height=0.1, italic=False, name='fixationtext', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text=u'+', units=u'norm', win=Window(...), wrapWidth=1)
2.9732 	EXP 	Imported irrelevant.xlsx as conditions, 4 conditions, 4 params
2.9735 	EXP 	Created sequence: random, trialTypes=4, nReps=1, seed=None
2.9740 	EXP 	New trial (rep=0, index=0): {u'food': u'mexican_food2', u'corrAns': u'right', u'sick': u'No', u'restaurant': u"Molina's Cantina"}
2.9867 	EXP 	window1: recordFrameIntervals = False
3.0068 	EXP 	restaurantText: text = u"Molina's Cantina"
3.0068 	EXP 	foodImg: image = u'foods/mexican_food2.png'
3.0068 	EXP 	fixationtext: autoDraw = True
3.0070 	EXP 	window1: recordFrameIntervals = False
3.5234 	EXP 	trialInstrText: autoDraw = True
3.5234 	EXP 	restaurantText: autoDraw = True
3.5234 	EXP 	foodImg: autoDraw = True
3.5234 	EXP 	fixationtext: autoDraw = False
4.5394 	DATA 	Keypress: escape
