0.3027 	WARNING 	Movie2 stim could not be imported and won't be available
0.5367 	WARNING 	TextBox stim could not be imported and won't be available.
0.5367 	WARNING 	TextBox Font Manager Found No Fonts.
2.5140 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor instance at 0xe69d6c0>, name='window1', pos=[0, 0], screen=0, size=array([1440,  900]), stereo=False, units=u'norm', useFBO=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
2.5140 	EXP 	window1: recordFrameIntervals = False
2.6792 	EXP 	window1: recordFrameIntervals = True
2.8627 	EXP 	window1: recordFrameIntervals = False
2.9290 	EXP 	Created trialInstrText = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'black', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='trialInstrText', opacity=1.0, ori=0, pos=array([ 0. ,  0.8]), rgb=array([ 0.,  0.,  0.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=20)
2.9373 	EXP 	Created restaurantText = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'blue', colorSpace='named', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='restaurantText', opacity=1.0, ori=0, pos=array([ 0. ,  0.3]), rgb=array([   0.,    0.,  255.]), text=u'default text', units=u'norm', win=Window(...), wrapWidth=1)
2.9408 	EXP 	Created foodImg = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-3.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='foodImg', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 0.5,  0.5]), texRes=128, units=u'norm', win=Window(...))
2.9472 	EXP 	Created fixationtext = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'black', colorSpace='named', contrast=1.0, depth=-4.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='fixationtext', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text=u'+', units=u'norm', win=Window(...), wrapWidth=1)
2.9537 	EXP 	Imported irrelevant.xlsx as conditions, 4 conditions, 4 params
2.9542 	EXP 	Created sequence: random, trialTypes=4, nReps=1, seed=None
2.9548 	EXP 	New trial (rep=0, index=0): {u'food': u'mexican_food1', u'corrAns': u'left', u'sick': u'Yes', u'restaurant': u'Restaurante Arroyo'}
2.9698 	EXP 	window1: recordFrameIntervals = False
2.9771 	EXP 	restaurantText: text = u'Restaurante Arroyo'
2.9771 	EXP 	foodImg: image = u'foods/mexican_food1.png'
2.9771 	EXP 	fixationtext: autoDraw = True
2.9772 	EXP 	window1: recordFrameIntervals = False
3.4958 	EXP 	trialInstrText: autoDraw = True
3.4958 	EXP 	restaurantText: autoDraw = True
3.4958 	EXP 	foodImg: autoDraw = True
3.4958 	EXP 	fixationtext: autoDraw = False
5.0626 	DATA 	Keypress: escape
