0.3080 	WARNING 	Movie2 stim could not be imported and won't be available
0.5704 	WARNING 	TextBox stim could not be imported and won't be available.
0.5704 	WARNING 	TextBox Font Manager Found No Fonts.
2.4722 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor instance at 0xe6d0a08>, name='window1', pos=[0, 0], screen=0, size=array([1440,  900]), stereo=False, units=u'norm', useFBO=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
2.4722 	EXP 	window1: recordFrameIntervals = False
2.6379 	EXP 	window1: recordFrameIntervals = True
2.8215 	EXP 	window1: recordFrameIntervals = False
2.8887 	EXP 	Created trialInstrText = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='trialInstrText', opacity=1.0, ori=0, pos=array([ 0. ,  0.8]), rgb=array([ 0.,  0.,  0.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=20)
2.8952 	EXP 	Created restaurantText = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='blue', colorSpace='named', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='restaurantText', opacity=1.0, ori=0, pos=array([ 0.  ,  0.35]), rgb=array([   0.,    0.,  255.]), text=u'default text', units=u'norm', win=Window(...), wrapWidth=1)
2.8979 	EXP 	Created foodImg = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-3.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='foodImg', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 0.5,  0.5]), texRes=128, units=u'norm', win=Window(...))
2.9032 	EXP 	Created fixationJitterText = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=-4.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='fixationJitterText', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text=u'+', units=u'norm', win=Window(...), wrapWidth=1)
2.9078 	EXP 	Created sickImg = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-6.0, flipHoriz=False, flipVert=False, image='images/sick.png', interpolate=True, mask=None, maskParams=None, name='sickImg', opacity=1.0, ori=0.0, pos=array([-0.5, -0.6]), size=array([ 0.3 ,  0.45]), texRes=128, units=u'norm', win=Window(...))
2.9103 	EXP 	Created notsickImg = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-7.0, flipHoriz=False, flipVert=False, image='images/smiley.png', interpolate=True, mask=None, maskParams=None, name='notsickImg', opacity=1.0, ori=0.0, pos=array([ 0.5, -0.6]), size=array([ 0.3 ,  0.45]), texRes=128, units=u'norm', win=Window(...))
2.9130 	EXP 	Created fixationITIText = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=-8.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='fixationITIText', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text=u'+', units=u'norm', win=Window(...), wrapWidth=1)
2.9173 	EXP 	Created sickHighlight = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-10.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=1.0, italic=False, name='sickHighlight', opacity=1.0, ori=0, pos=array([-0.5 , -0.35]), rgb=array([ 255.,  255.,  255.]), text=u'_', units=u'norm', win=Window(...), wrapWidth=1)
2.9198 	EXP 	Created notsickHighlight = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-11.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=1, italic=False, name='notsickHighlight', opacity=1.0, ori=0, pos=array([ 0.5 , -0.35]), rgb=array([ 255.,  255.,  255.]), text=u'_', units=u'norm', win=Window(...), wrapWidth=1)
2.9306 	EXP 	Created correctText = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'blue', colorSpace='named', contrast=1.0, depth=-13.0, flipHoriz=False, flipVert=False, font=u'Arial Bold', fontFiles=[], height=0.1, italic=False, name='correctText', opacity=1.0, ori=0, pos=array([ 0. , -0.3]), rgb=array([   0.,    0.,  255.]), text=u'CORRECT', units=u'norm', win=Window(...), wrapWidth=1)
2.9357 	EXP 	Created wrongText = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'red', colorSpace='named', contrast=1.0, depth=-14.0, flipHoriz=False, flipVert=False, font=u'Arial Bold', fontFiles=[], height=0.1, italic=False, name='wrongText', opacity=1.0, ori=0, pos=array([ 0. , -0.3]), rgb=array([ 255.,    0.,    0.]), text=u'WRONG', units=u'norm', win=Window(...), wrapWidth=1)
2.9415 	EXP 	Created timeoutText = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'purple', colorSpace='named', contrast=1.0, depth=-15.0, flipHoriz=False, flipVert=False, font=u'Arial Bold', fontFiles=[], height=0.1, italic=False, name='timeoutText', opacity=1.0, ori=0, pos=array([ 0. , -0.3]), rgb=array([ 128.,    0.,  128.]), text=u'TIMEOUT', units=u'norm', win=Window(...), wrapWidth=1)
2.9447 	EXP 	Created sickFeedback = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-16.0, flipHoriz=False, flipVert=False, image='images/sick.png', interpolate=True, mask=None, maskParams=None, name='sickFeedback', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 0.3 ,  0.45]), texRes=128, units=u'norm', win=Window(...))
2.9472 	EXP 	Created notsickFeedback = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-17.0, flipHoriz=False, flipVert=False, image='images/smiley.png', interpolate=True, mask=None, maskParams=None, name='notsickFeedback', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 0.3 ,  0.45]), texRes=128, units=u'norm', win=Window(...))
2.9607 	EXP 	Created gotSickText = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'black', colorSpace='named', contrast=1.0, depth=-18.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.075, italic=False, name='gotSickText', opacity=1.0, ori=0, pos=array([ 0. , -0.5]), rgb=array([ 0.,  0.,  0.]), text=u'The customer got sick!', units=u'norm', win=Window(...), wrapWidth=1)
2.9768 	EXP 	Created didntGetSickText = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'black', colorSpace='named', contrast=1.0, depth=-19.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.075, italic=False, name='didntGetSickText', opacity=1.0, ori=0, pos=array([ 0. , -0.5]), rgb=array([ 0.,  0.,  0.]), text=u"The customer didn't get sick!", units=u'norm', win=Window(...), wrapWidth=1)
3.0130 	EXP 	Imported irrelevant.xlsx as conditions, 4 conditions, 4 params
3.0134 	EXP 	Created sequence: random, trialTypes=4, nReps=1, seed=None
3.0139 	EXP 	New trial (rep=0, index=0): {u'food': u'mexican_food1', u'corrAns': u'left', u'sick': u'Yes', u'restaurant': u'Restaurante Arroyo'}
3.0530 	EXP 	window1: recordFrameIntervals = False
3.0586 	EXP 	restaurantText: text = u'Restaurante Arroyo'
3.0586 	EXP 	foodImg: image = u'foods/mexican_food1.png'
3.0586 	EXP 	sickHighlight: opacity = 0.0
3.0586 	EXP 	notsickHighlight: opacity = 0.0
3.0586 	EXP 	sickHighlight: text = u'_'
3.0586 	EXP 	notsickHighlight: text = u'_'
3.0586 	EXP 	correctText: opacity = 0.0
3.0586 	EXP 	wrongText: opacity = 0.0
3.0586 	EXP 	timeoutText: opacity = 0.0
3.0586 	EXP 	sickFeedback: opacity = 0.0
3.0586 	EXP 	notsickFeedback: opacity = 0.0
3.0586 	EXP 	gotSickText: opacity = 0.0
3.0586 	EXP 	didntGetSickText: opacity = 0.0
3.0586 	EXP 	correctText: text = u'CORRECT'
3.0586 	EXP 	wrongText: text = u'WRONG'
3.0586 	EXP 	timeoutText: text = u'TIMEOUT'
3.0586 	EXP 	gotSickText: text = u'The customer got sick!'
3.0586 	EXP 	didntGetSickText: text = u"The customer didn't get sick!"
3.0586 	EXP 	fixationITIText: autoDraw = True
3.0586 	EXP 	sickHighlight: text = u'_'
3.0586 	EXP 	notsickHighlight: text = u'_'
3.0630 	EXP 	window1: recordFrameIntervals = False
4.0717 	EXP 	sickHighlight: text = u'_'
4.0717 	EXP 	notsickHighlight: text = u'_'
4.0961 	EXP 	trialInstrText: autoDraw = True
4.0961 	EXP 	restaurantText: autoDraw = True
4.0961 	EXP 	foodImg: autoDraw = True
4.0961 	EXP 	sickImg: autoDraw = True
4.0961 	EXP 	notsickImg: autoDraw = True
4.0961 	EXP 	fixationITIText: autoDraw = False
4.0961 	EXP 	sickHighlight: autoDraw = True
4.0961 	EXP 	notsickHighlight: autoDraw = True
4.0961 	EXP 	sickHighlight: text = u'_'
4.0961 	EXP 	notsickHighlight: text = u'_'
4.1099 	EXP 	sickHighlight: text = u'_'
4.1099 	EXP 	notsickHighlight: text = u'_'
4.1291 	EXP 	sickHighlight: text = u'_'
4.1291 	EXP 	notsickHighlight: text = u'_'
4.1432 	EXP 	sickHighlight: text = u'_'
4.1432 	EXP 	notsickHighlight: text = u'_'
4.1636 	EXP 	sickHighlight: text = u'_'
4.1636 	EXP 	notsickHighlight: text = u'_'
4.1777 	EXP 	sickHighlight: text = u'_'
4.1777 	EXP 	notsickHighlight: text = u'_'
4.1964 	EXP 	sickHighlight: text = u'_'
4.1964 	EXP 	notsickHighlight: text = u'_'
4.2104 	EXP 	sickHighlight: text = u'_'
4.2104 	EXP 	notsickHighlight: text = u'_'
4.2296 	EXP 	sickHighlight: text = u'_'
4.2296 	EXP 	notsickHighlight: text = u'_'
4.2431 	EXP 	sickHighlight: text = u'_'
4.2431 	EXP 	notsickHighlight: text = u'_'
4.2635 	EXP 	sickHighlight: text = u'_'
4.2635 	EXP 	notsickHighlight: text = u'_'
4.2875 	EXP 	sickHighlight: text = u'_'
4.2875 	EXP 	notsickHighlight: text = u'_'
4.3042 	EXP 	sickHighlight: text = u'_'
4.3042 	EXP 	notsickHighlight: text = u'_'
4.3209 	EXP 	sickHighlight: text = u'_'
4.3209 	EXP 	notsickHighlight: text = u'_'
4.3373 	EXP 	sickHighlight: text = u'_'
4.3373 	EXP 	notsickHighlight: text = u'_'
4.3540 	EXP 	sickHighlight: text = u'_'
4.3540 	EXP 	notsickHighlight: text = u'_'
4.3710 	EXP 	sickHighlight: text = u'_'
4.3710 	EXP 	notsickHighlight: text = u'_'
4.3849 	EXP 	sickHighlight: text = u'_'
4.3849 	EXP 	notsickHighlight: text = u'_'
4.4043 	EXP 	sickHighlight: text = u'_'
4.4043 	EXP 	notsickHighlight: text = u'_'
4.4187 	EXP 	sickHighlight: text = u'_'
4.4187 	EXP 	notsickHighlight: text = u'_'
4.4374 	EXP 	sickHighlight: text = u'_'
4.4374 	EXP 	notsickHighlight: text = u'_'
4.4514 	EXP 	sickHighlight: text = u'_'
4.4514 	EXP 	notsickHighlight: text = u'_'
4.4711 	EXP 	sickHighlight: text = u'_'
4.4711 	EXP 	notsickHighlight: text = u'_'
4.4857 	EXP 	sickHighlight: text = u'_'
4.4857 	EXP 	notsickHighlight: text = u'_'
4.5041 	EXP 	sickHighlight: text = u'_'
4.5041 	EXP 	notsickHighlight: text = u'_'
4.5211 	EXP 	sickHighlight: text = u'_'
4.5211 	EXP 	notsickHighlight: text = u'_'
4.5375 	EXP 	sickHighlight: text = u'_'
4.5375 	EXP 	notsickHighlight: text = u'_'
4.5542 	EXP 	sickHighlight: text = u'_'
4.5542 	EXP 	notsickHighlight: text = u'_'
4.5710 	EXP 	sickHighlight: text = u'_'
4.5710 	EXP 	notsickHighlight: text = u'_'
4.5853 	EXP 	sickHighlight: text = u'_'
4.5853 	EXP 	notsickHighlight: text = u'_'
4.6044 	EXP 	sickHighlight: text = u'_'
4.6044 	EXP 	notsickHighlight: text = u'_'
4.6188 	EXP 	sickHighlight: text = u'_'
4.6188 	EXP 	notsickHighlight: text = u'_'
4.6374 	EXP 	sickHighlight: text = u'_'
4.6374 	EXP 	notsickHighlight: text = u'_'
4.6544 	EXP 	sickHighlight: text = u'_'
4.6544 	EXP 	notsickHighlight: text = u'_'
4.6708 	EXP 	sickHighlight: text = u'_'
