0.3240 	WARNING 	Movie2 stim could not be imported and won't be available
0.5750 	WARNING 	TextBox stim could not be imported and won't be available.
0.5750 	WARNING 	TextBox Font Manager Found No Fonts.
2.4533 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor instance at 0xe8c9800>, name='window1', pos=[0, 0], screen=0, size=array([1440,  900]), stereo=False, units=u'norm', useFBO=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
2.4534 	EXP 	window1: recordFrameIntervals = False
2.6185 	EXP 	window1: recordFrameIntervals = True
2.8022 	EXP 	window1: recordFrameIntervals = False
2.8707 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'Any text\n\nincluding line breaks', units=u'norm', win=Window(...), wrapWidth=1)
2.8875 	EXP 	Created trialInstrText = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'black', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='trialInstrText', opacity=1.0, ori=0, pos=array([ 0. ,  0.8]), rgb=array([ 0.,  0.,  0.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=20)
2.8935 	EXP 	Created restaurantText = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'blue', colorSpace='named', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='restaurantText', opacity=1.0, ori=0, pos=array([ 0.  ,  0.35]), rgb=array([   0.,    0.,  255.]), text=u'default text', units=u'norm', win=Window(...), wrapWidth=1)
2.8962 	EXP 	Created foodImg = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-3.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='foodImg', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 0.5,  0.5]), texRes=128, units=u'norm', win=Window(...))
2.9020 	EXP 	Created fixationJitterText = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'black', colorSpace='named', contrast=1.0, depth=-4.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='fixationJitterText', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text=u'+', units=u'norm', win=Window(...), wrapWidth=1)
2.9065 	EXP 	Created sickImg = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-5.0, flipHoriz=False, flipVert=False, image=u'images/sick.png', interpolate=True, mask=None, maskParams=None, name='sickImg', opacity=1.0, ori=0.0, pos=array([-0.5, -0.6]), size=array([ 0.3 ,  0.45]), texRes=128, units=u'norm', win=Window(...))
2.9090 	EXP 	Created notsickImg = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-6.0, flipHoriz=False, flipVert=False, image=u'images/smiley.png', interpolate=True, mask=None, maskParams=None, name='notsickImg', opacity=1.0, ori=0.0, pos=array([ 0.5, -0.6]), size=array([ 0.3 ,  0.45]), texRes=128, units=u'norm', win=Window(...))
2.9116 	EXP 	Created fixationITIText = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'black', colorSpace='named', contrast=1.0, depth=-8.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='fixationITIText', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text=u'+', units=u'norm', win=Window(...), wrapWidth=1)
2.9232 	EXP 	text: autoDraw = True
3.4357 	DATA 	Keypress: space
3.4459 	EXP 	Imported irrelevant.xlsx as conditions, 4 conditions, 4 params
3.4463 	EXP 	Created sequence: random, trialTypes=4, nReps=1, seed=None
3.4468 	EXP 	New trial (rep=0, index=0): {u'food': u'mexican_food2', u'corrAns': u'right', u'sick': u'No', u'restaurant': u'Restaurante Arroyo'}
3.4578 	EXP 	window1: recordFrameIntervals = False
3.4689 	EXP 	text: autoDraw = False
3.4689 	EXP 	restaurantText: text = u'Restaurante Arroyo'
3.4689 	EXP 	foodImg: image = u'foods/mexican_food2.png'
3.4689 	EXP 	fixationITIText: autoDraw = True
3.4691 	EXP 	window1: recordFrameIntervals = False
4.4742 	EXP 	window1: recordFrameIntervals = False
4.4832 	EXP 	trialInstrText: autoDraw = True
4.4832 	EXP 	restaurantText: autoDraw = True
4.4832 	EXP 	foodImg: autoDraw = True
4.4832 	EXP 	sickImg: autoDraw = True
4.4832 	EXP 	notsickImg: autoDraw = True
4.4832 	EXP 	fixationITIText: autoDraw = False
4.4835 	EXP 	window1: recordFrameIntervals = False
7.2797 	DATA 	Keypress: left
7.2808 	DATA 	Keypress: left
7.2811 	DATA 	Keypress: left
7.2814 	DATA 	Keypress: right
7.2817 	DATA 	Keypress: right
7.2820 	DATA 	Keypress: right
7.2823 	DATA 	Keypress: left
7.2827 	DATA 	Keypress: left
7.2831 	DATA 	Keypress: left
7.2834 	DATA 	Keypress: down
7.2837 	DATA 	Keypress: right
7.2839 	DATA 	Keypress: right
7.2841 	DATA 	Keypress: right
7.4093 	DATA 	Keypress: left
7.4942 	EXP 	window1: recordFrameIntervals = False
7.4953 	EXP 	New trial (rep=0, index=1): {u'food': u'mexican_food1', u'corrAns': u'left', u'sick': u'Yes', u'restaurant': u"Molina's Cantina"}
7.5138 	EXP 	window1: recordFrameIntervals = False
7.5274 	EXP 	trialInstrText: autoDraw = False
7.5274 	EXP 	restaurantText: autoDraw = False
7.5274 	EXP 	foodImg: autoDraw = False
7.5274 	EXP 	fixationJitterText: autoDraw = True
7.5274 	EXP 	sickImg: autoDraw = False
7.5274 	EXP 	notsickImg: autoDraw = False
7.5274 	EXP 	trialInstrText: autoDraw = False
7.5274 	EXP 	restaurantText: autoDraw = False
7.5274 	EXP 	foodImg: autoDraw = False
7.5274 	EXP 	fixationJitterText: autoDraw = False
7.5274 	EXP 	sickImg: autoDraw = False
7.5274 	EXP 	notsickImg: autoDraw = False
7.5274 	EXP 	fixationITIText: autoDraw = False
7.5274 	EXP 	restaurantText: text = u"Molina's Cantina"
7.5274 	EXP 	foodImg: image = u'foods/mexican_food1.png'
7.5274 	EXP 	fixationITIText: autoDraw = True
7.5279 	EXP 	window1: recordFrameIntervals = False
8.3188 	DATA 	Keypress: left
8.5286 	EXP 	window1: recordFrameIntervals = False
8.5294 	EXP 	New trial (rep=0, index=2): {u'food': u'mexican_food1', u'corrAns': u'left', u'sick': u'Yes', u'restaurant': u'Restaurante Arroyo'}
8.5406 	EXP 	window1: recordFrameIntervals = False
8.5530 	EXP 	trialInstrText: autoDraw = True
8.5530 	EXP 	restaurantText: autoDraw = True
8.5530 	EXP 	foodImg: autoDraw = True
8.5530 	EXP 	sickImg: autoDraw = True
8.5530 	EXP 	notsickImg: autoDraw = True
8.5530 	EXP 	fixationITIText: autoDraw = False
8.5530 	EXP 	trialInstrText: autoDraw = False
8.5530 	EXP 	restaurantText: autoDraw = False
8.5530 	EXP 	foodImg: autoDraw = False
8.5530 	EXP 	fixationJitterText: autoDraw = False
8.5530 	EXP 	sickImg: autoDraw = False
8.5530 	EXP 	notsickImg: autoDraw = False
8.5530 	EXP 	fixationITIText: autoDraw = False
8.5530 	EXP 	restaurantText: text = u'Restaurante Arroyo'
8.5530 	EXP 	foodImg: image = u'foods/mexican_food1.png'
8.5530 	EXP 	fixationITIText: autoDraw = True
8.5534 	EXP 	window1: recordFrameIntervals = False
9.5536 	EXP 	window1: recordFrameIntervals = False
9.5699 	EXP 	trialInstrText: autoDraw = True
9.5699 	EXP 	restaurantText: autoDraw = True
9.5699 	EXP 	foodImg: autoDraw = True
9.5699 	EXP 	sickImg: autoDraw = True
9.5699 	EXP 	notsickImg: autoDraw = True
9.5699 	EXP 	fixationITIText: autoDraw = False
9.5704 	EXP 	window1: recordFrameIntervals = False
12.3600 	DATA 	Keypress: right
12.3605 	DATA 	Keypress: right
12.3609 	DATA 	Keypress: right
12.3613 	DATA 	Keypress: left
12.3616 	DATA 	Keypress: left
12.3620 	DATA 	Keypress: left
12.3625 	DATA 	Keypress: escape
12.3635 	DATA 	Keypress: escape
12.3638 	DATA 	Keypress: escape
12.3642 	DATA 	Keypress: escape
12.3646 	DATA 	Keypress: escape
12.3649 	DATA 	Keypress: escape
12.3652 	DATA 	Keypress: escape
12.3656 	DATA 	Keypress: escape
12.3659 	DATA 	Keypress: escape
12.3663 	DATA 	Keypress: escape
12.3851 	DATA 	Keypress: escape
12.5451 	DATA 	Keypress: escape
