food,corrAns,sick,restaurant,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,responseKey.keys,responseKey.corr,responseKey.rt,date,frameRate,expName,session,participant,
mexican_food2,right,No,Molina's Cantina,0,0,0,1,right,1,0.250737190247,2016_Sep_15_1307,60.0056367447,context,001,4,
mexican_food1,left,Yes,Restaurante Arroyo,0,1,1,2,left,1,0.25053691864,2016_Sep_15_1307,60.0056367447,context,001,4,
