food,corrAns,sick,restaurant,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,date,frameRate,expName,session,participant,
mexican_food1,left,Yes,Molina's Cantina,0,0,0,0,2016_Sep_15_1201,59.9883864952,context,001,1,
mexican_food1,left,Yes,Restaurante Arroyo,0,1,1,2,2016_Sep_15_1201,59.9883864952,context,001,1,
mexican_food2,right,No,Molina's Cantina,0,2,2,1,2016_Sep_15_1201,59.9883864952,context,001,1,
mexican_food2,right,No,Restaurante Arroyo,0,3,3,3,2016_Sep_15_1201,59.9883864952,context,001,1,
